114-8186320-7455404	 : 94080-4598
113-3928034-1897820	 : 94102-1102
113-3501857-2342648	 : 84790-1223
114-3662506-6950625	 : 98101-2289
111-5998772-2390661	 : 90640-6609
114-6590559-3071444	 : 27834-6545
112-8248712-3830610	 : 61701-3918
112-7436115-3030653	 : 66021
111-4286082-8813809	 : 18940-9428
114-0006231-9126619	 : 33621-5101
111-8055108-3024229	 : 54701-7233
112-5094331-4387418	 : 83301-3367
111-9702790-2966633	 : 91505-1111
112-1374401-0434636	 : 98101-2795
112-2992931-7065010	 : 77304-1710
114-2804332-6281066	 : 97402-2415
113-0285037-9141870	 : 33433-2236
111-3463632-0838610	 : 53022
114-2168485-9276260	 : 33765-1324
111-9552174-7282610	 : 85546-9373
113-7539493-6735424	 : 20653-4410
114-2364041-9488248	 : 20774-2560
113-1634763-1408245	 : 22932-2417
112-6944697-1177044	 : 92706-1537
112-3905245-1686665	 : 32819-6544
111-4661510-4208234	 : 92071-2741
113-7150079-0735445	 : 36330-5006
112-5674790-5893830	 : 15122-3274
114-4050902-4266602	 : 68127-4043
114-0450067-3993860	 : 62806-9000
113-5984821-3040269	 : 06053-1826
111-6387261-3839461	 : 95380-3313
113-6139925-9552245	 : 48025
112-1242585-9938624	 : 53402-3449
113-6630457-4609859	 : 30224-2401
112-4900801-1032244	 : 63005
111-2061284-0703450	 : 26155
111-1872774-9649814	 : 34683-5705
112-8850733-8050617	 : 10001-2908
114-6707575-3149009	 : 55413
113-0658527-5894600	 : 99820
112-8870539-5555410	 : 94107-5907
113-5573422-4853801	 : 37129-1836
113-3613804-2769830	 : 53403-2502
111-3056031-6636223	 : 94087-3102
111-0834818-7097828	 : 96786-7027
112-3335538-2164223	 : 01776
112-1229157-2696207	 : 80524-2507
114-3591278-9191432	 : 60103-2938
114-3378244-5625853	 : 18041-1418
113-8647225-0094665	 : 60069-4220
111-0696807-0218601	 : 84759
113-3254514-1671414	 : 18240-2201
112-7557645-0817806	 : 70113
111-4896643-8250631	 : 90265
111-1097771-9355405	 : 10011-5614
112-3514866-4824202	 : 78633-4989
114-3270788-2602641	 : 38125-3966
